FEN,Evaluation
r3nrk1/1n3ppp/pp1pp3/1N6/2P5/3RN1P1/PP2PP1P/R5K1 w - - 0 18,+84
r3nrk1/1n3ppp/pp1pp3/1N6/2P5/R3N1P1/PP2PP1P/R5K1 b - - 1 18,+42
r3nrk1/1n4pp/pp1pp3/1N3p2/2P5/R3N1P1/PP2PP1P/R5K1 w - - 0 19,+111
r3nrk1/1n4pp/pp1pp3/1N3p2/2P5/R3N1P1/PP2PP1P/3R2K1 b - - 1 19,+30
r3nr2/1n3kpp/pp1pp3/1N3p2/2P5/R3N1P1/PP2PP1P/3R2K1 w - - 2 20,+136
r3nr2/1n3kpp/pp1pp3/1N3p2/2P5/R5P1/PPN1PP1P/3R2K1 b - - 3 20,-142
r3nr2/5kpp/pp1pp3/nN3p2/2P5/R5P1/PPN1PP1P/3R2K1 w - - 4 21,-109
r3nr2/5kpp/pp1Np3/n4p2/2P5/R5P1/PPN1PP1P/3R2K1 b - - 0 21,-122
r4r2/5kpp/pp1np3/n4p2/2P5/R5P1/PPN1PP1P/3R2K1 w - - 0 22,-99
r4r2/5kpp/pp1Rp3/n4p2/2P5/R5P1/PPN1PP1P/6K1 b - - 0 22,-129
r4r2/5kpp/pp1Rp3/5p2/2n5/R5P1/PPN1PP1P/6K1 w - - 0 23,-133
r4r2/3R1kpp/pp2p3/5p2/2n5/R5P1/PPN1PP1P/6K1 b - - 1 23,-141
r3kr2/3R2pp/pp2p3/5p2/2n5/R5P1/PPN1PP1P/6K1 w - - 2 24,-108
r3kr2/6Rp/pp2p3/5p2/2n5/R5P1/PPN1PP1P/6K1 b - - 0 24,-163
r3kr2/6Rp/pp2p3/5p2/8/n5P1/PPN1PP1P/6K1 w - - 0 25,-153
r3kr2/6Rp/pp2p3/5p2/8/N5P1/PP2PP1P/6K1 b - - 0 25,-177
r3k3/5rRp/pp2p3/5p2/8/N5P1/PP2PP1P/6K1 w - - 1 26,-124
r3k1R1/5r1p/pp2p3/5p2/8/N5P1/PP2PP1P/6K1 b - - 2 26,-139
r3krR1/7p/pp2p3/5p2/8/N5P1/PP2PP1P/6K1 w - - 3 27,-101
2r1kr2/6Rp/pp2p3/5p2/8/N5P1/PP2PP1P/6K1 w - - 5 28,0
2r1kr2/R6p/pp2p3/5p2/8/N5P1/PP2PP1P/6K1 b - - 6 28,-46
2r1k3/R4r1p/pp2p3/5p2/8/N5P1/PP2PP1P/6K1 w - - 7 29,+25
2r1k3/5r1p/Rp2p3/5p2/8/N5P1/PP2PP1P/6K1 b - - 0 29,0
2r1k3/1r5p/Rp2p3/5p2/8/N5P1/PP2PP1P/6K1 w - - 1 30,0
2r1k3/1r5p/Rp2p3/5p2/8/NP4P1/P3PP1P/6K1 b - - 0 30,0
2r5/1r2k2p/Rp2p3/5p2/8/NP4P1/P3PP1P/6K1 w - - 1 31,+8
2r5/1r2k2p/Rp2p3/5p2/2N5/1P4P1/P3PP1P/6K1 b - - 2 31,0
2r5/1r2k2p/R3p3/1p3p2/2N5/1P4P1/P3PP1P/6K1 w - - 0 32,+20
2r5/1r2k2p/R3p3/1p2Np2/8/1P4P1/P3PP1P/6K1 b - - 1 32,0
2r5/1r5p/R3pk2/1p2Np2/8/1P4P1/P3PP1P/6K1 w - - 2 33,0
2r5/1r5p/R3pk2/1p3p2/8/1P1N2P1/P3PP1P/6K1 b - - 3 33,0
2r5/2r4p/R3pk2/1p3p2/8/1P1N2P1/P3PP1P/6K1 w - - 4 34,+36
2r5/2r4p/R3pk2/1p3p2/1P6/3N2P1/P3PP1P/6K1 b - - 0 34,0
2r5/7p/R1r1pk2/1p3p2/1P6/3N2P1/P3PP1P/6K1 w - - 1 35,+52
2r5/7p/2r1pk2/Rp3p2/1P6/3N2P1/P3PP1P/6K1 b - - 2 35,+23
2r5/7p/4pk2/Rp3p2/1P6/3N2P1/P1r1PP1P/6K1 w - - 3 36,+30
2r5/7p/4pk2/Rp3p2/1P6/3N2P1/P1r1PP1P/5K2 b - - 4 36,+19
3r4/7p/4pk2/Rp3p2/1P6/3N2P1/P1r1PP1P/5K2 w - - 5 37,+43
3r4/7p/R3pk2/1p3p2/1P6/3N2P1/P1r1PP1P/5K2 b - - 6 37,0
3r4/4k2p/R3p3/1p3p2/1P6/3N2P1/P1r1PP1P/5K2 w - - 7 38,+31
3r4/4k2p/R3p3/1p3p2/1P5P/3N2P1/P1r1PP2/5K2 b - - 0 38,0
8/4k2p/R2rp3/1p3p2/1P5P/3N2P1/P1r1PP2/5K2 w - - 1 39,+39
8/R3k2p/3rp3/1p3p2/1P5P/3N2P1/P1r1PP2/5K2 b - - 2 39,0
8/R2rk2p/4p3/1p3p2/1P5P/3N2P1/P1r1PP2/5K2 w - - 3 40,+22
8/3rk2p/4p3/Rp3p2/1P5P/3N2P1/P1r1PP2/5K2 b - - 4 40,+24
8/3r3p/4pk2/Rp3p2/1P5P/3N2P1/P1r1PP2/5K2 w - - 5 41,+80
8/3r3p/4pk2/Rp3p2/1P5P/3N1PP1/P1r1P3/5K2 b - - 0 41,+27
8/3r4/4pk1p/Rp3p2/1P5P/3N1PP1/P1r1P3/5K2 w - - 0 42,+76
8/3r4/R3pk1p/1p3p2/1P5P/3N1PP1/P1r1P3/5K2 b - - 1 42,+46
8/3rk3/R3p2p/1p3p2/1P5P/3N1PP1/P1r1P3/5K2 w - - 2 43,+40
8/3rk3/R3p2p/1pN2p2/1P5P/5PP1/P1r1P3/5K2 b - - 3 43,0
8/4k3/R3p2p/1pN2p2/1P5P/5PP1/P1r1P3/3r1K2 w - - 4 44,0
8/4k3/R3p2p/1pN2p2/1P5P/5PP1/P1r1PK2/3r4 b - - 5 44,-30
8/4k3/R2rp2p/1pN2p2/1P5P/5PP1/P1r1PK2/8 w - - 6 45,0
8/R3k3/3rp2p/1pN2p2/1P5P/5PP1/P1r1PK2/8 b - - 7 45,0
4k3/R7/3rp2p/1pN2p2/1P5P/5PP1/P1r1PK2/8 w - - 8 46,+3
4k3/8/3rp2p/1pN2p2/1P5P/R4PP1/P1r1PK2/8 b - - 9 46,0
8/5k2/3rp2p/1pN2p2/1P5P/R4PP1/P1r1PK2/8 w - - 10 47,+9
8/5k2/3rp2p/1p3p2/1P5P/R2N1PP1/P1r1PK2/8 b - - 11 47,0
8/8/3rpk1p/1p3p2/1P5P/R2N1PP1/P1r1PK2/8 w - - 12 48,+36
8/8/3rpk1p/1p3p2/1P5P/R2NKPP1/P1r1P3/8 b - - 13 48,0
8/8/2r1pk1p/1p3p2/1P5P/R2NKPP1/P1r1P3/8 w - - 14 49,0
8/8/2r1pk1p/Rp3p2/1P5P/3NKPP1/P1r1P3/8 b - - 15 49,0
8/8/4pk1p/Rp3p2/1P5P/2rNKPP1/P1r1P3/8 w - - 16 50,0
8/8/4pk1p/1R3p2/1P5P/2rNKPP1/P1r1P3/8 b - - 0 50,0
8/8/4pk1p/1R3p2/1P5P/2rNKPP1/r3P3/8 w - - 0 51,+61
8/8/1R2pk1p/5p2/1P5P/2rNKPP1/r3P3/8 b - - 1 51,0
8/8/1R2pk1p/5p2/1P5P/r2NKPP1/r3P3/8 w - - 2 52,0
8/8/1R2pk1p/5p2/1P4PP/r2NKP2/r3P3/8 b - - 0 52,-16
8/8/1R2pk1p/5p2/1P4PP/r2NKP2/2r1P3/8 w - - 1 53,+17
8/8/1R2pk1p/5P2/1P5P/r2NKP2/2r1P3/8 b - - 0 53,0
8/8/1R2p2p/5k2/1P5P/r2NKP2/2r1P3/8 w - - 0 54,0
1R6/8/4p2p/5k2/1P5P/r2NKP2/2r1P3/8 b - - 1 54,0
1R6/8/4pk1p/8/1P5P/r2NKP2/2r1P3/8 w - - 2 55,0
6R1/8/4pk1p/8/1P5P/r2NKP2/2r1P3/8 b - - 3 55,0
6R1/8/4pk1p/8/1P5P/3NKP2/r1r1P3/8 w - - 4 56,0
8/8/4pk1p/8/1P5P/3NKP2/r1r1P1R1/8 b - - 5 56,0
8/8/4p2p/5k2/1P5P/3NKP2/r1r1P1R1/8 w - - 6 57,+17
8/8/4p2p/5k1P/1P6/3NKP2/r1r1P1R1/8 b - - 0 57,0
8/8/7p/4pk1P/1P6/3NKP2/r1r1P1R1/8 w - - 0 58,+19
8/8/7p/1P2pk1P/8/3NKP2/r1r1P1R1/8 b - - 0 58,0
8/8/7p/1P2pk1P/2r5/3NKP2/r3P1R1/8 w - - 1 59,+23
8/8/1P5p/4pk1P/2r5/3NKP2/r3P1R1/8 b - - 0 59,+15
r7/8/1P5p/4pk1P/2r5/3NKP2/4P1R1/8 w - - 1 60,+60
r7/8/1P4Rp/4pk1P/2r5/3NKP2/4P3/8 b - - 2 60,+13
r7/8/1P4Rp/5k1P/2r1p3/3NKP2/4P3/8 w - - 0 61,+76
r7/8/1P4Rp/5k1P/2r1P3/3NK3/4P3/8 b - - 0 61,0
r7/8/1P4Rp/5k1P/4r3/3NK3/4P3/8 w - - 0 62,0
r7/8/1P4Rp/5k1P/4r3/3N1K2/4P3/8 b - - 1 62,-54
4r3/8/1P4Rp/5k1P/4r3/3N1K2/4P3/8 w - - 2 63,-36
4r3/8/1P5R/5k1P/4r3/3N1K2/4P3/8 b - - 0 63,-63
4r3/8/1P5R/5k1P/8/3N1K2/4r3/8 w - - 0 64,-45
4r3/8/1P5R/5k1P/8/5K2/4rN2/8 b - - 1 64,-52
8/8/1P5R/5k1P/8/4rK2/4rN2/8 w - - 2 65,-30
8/8/1P5R/5k1P/8/4r3/4rNK1/8 b - - 3 65,-35
8/8/1P5R/5k1P/8/1r6/4rNK1/8 w - - 4 66,-44
rnbqkb1r/pppppppp/5n2/8/2P5/6P1/PP1PPP1P/RNBQKBNR b KQkq - 0 2,-13
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq - 3 4,-8
r1bqk2r/pppp1ppp/2n2n2/4p3/1bP5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 4 5,+46
r1bqk2r/pppp1ppp/2n2n2/4p3/1bP1P3/2N3P1/PP1P1PBP/R1BQK1NR b KQkq - 0 5,-40
r1bqk2r/pppp1ppp/2n2n2/4p3/2P1P3/2b3P1/PP1P1PBP/R1BQK1NR w KQkq - 0 6,+82
r1bqk2r/pppp1ppp/2n2n2/4p3/2P1P3/2P3P1/PP3PBP/R1BQK1NR b KQkq - 0 6,-62
r1bqk2r/ppp2ppp/2np1n2/4p3/2P1P3/2P3P1/PP3PBP/R1BQK1NR w KQkq - 0 7,0
r1bqk2r/ppp2ppp/2np1n2/4p3/2P1P3/2P3P1/PP2QPBP/R1B1K1NR b KQkq - 1 7,-49
r1bq1rk1/ppp2ppp/2np1n2/4p3/2P1P3/2P3P1/PP2QPBP/R1B1K1NR w KQ - 2 8,+43
r1bq1rk1/ppp2ppp/2np1n2/4p3/2P1P3/2P2NP1/PP2QPBP/R1B1K2R b KQ - 3 8,-36
r1bq1rk1/1pp2ppp/2np1n2/p3p3/2P1P3/2P2NP1/PP2QPBP/R1B1K2R w KQ - 0 9,+15
r1bq1rk1/1pp2ppp/2np1n2/p3p3/2P1P3/2P2NP1/PP2QPBP/R1B2RK1 b - - 1 9,-28
r2q1rk1/1pp2ppp/2npbn2/p3p3/2P1P3/2P2NP1/PP2QPBP/R1B2RK1 w - - 2 10,+50
r2q1rk1/1pp2ppp/2npbn2/p3p3/2P1P3/2P3P1/PP2QPBP/R1B1NRK1 b - - 3 10,-16
r4rk1/1ppq1ppp/2npbn2/p3p3/2P1P3/2P3P1/PP2QPBP/R1B1NRK1 w - - 4 11,+44
r4rk1/1ppq1ppp/2npbn2/p3p3/2P1P3/2P3P1/PPN1QPBP/R1B2RK1 b - - 5 11,-30
r4rk1/1ppq1ppp/2np1n2/p3p3/2P1P3/2P3Pb/PPN1QPBP/R1B2RK1 w - - 6 12,+20
r4rk1/1ppq1ppp/2np1n2/p3p1B1/2P1P3/2P3Pb/PPN1QPBP/R4RK1 b - - 7 12,-11
r4rk1/1ppq1ppp/2np1n2/p3p1B1/2P1P3/2P3P1/PPN1QPbP/R4RK1 w - - 0 13,+23
r4rk1/1ppq1ppp/2np1n2/p3p1B1/2P1P3/2P3P1/PPN1QPKP/R4R2 b - - 0 13,-1
r4rk1/1pp2ppp/2npqn2/p3p1B1/2P1P3/2P3P1/PPN1QPKP/R4R2 w - - 1 14,+30
r4rk1/1pp2ppp/2npqB2/p3p3/2P1P3/2P3P1/PPN1QPKP/R4R2 b - - 0 14,-11
r4rk1/1pp2ppp/2np1q2/p3p3/2P1P3/2P3P1/PPN1QPKP/R4R2 w - - 0 15,+38
r4rk1/1pp2ppp/2np1q2/p3p3/2P1P3/2P1N1P1/PP2QPKP/R4R2 b - - 1 15,-7
r4rk1/1pp1nppp/3p1q2/p3p3/2P1P3/2P1N1P1/PP2QPKP/R4R2 w - - 2 16,+52
r4rk1/1pp1nppp/3p1q2/p3p3/2P1P3/2P1N1P1/PP2QPKP/3R1R2 b - - 3 16,-31
r4rk1/1pp1nppp/3p2q1/p3p3/2P1P3/2P1N1P1/PP2QPKP/3R1R2 w - - 4 17,+31
rn1qkb1r/pb1ppp1p/1p3np1/2p5/2P5/5NP1/PP1PPPBP/RNBQ1RK1 w kq - 0 6,+44
rn1qkb1r/pb1ppp1p/1p3np1/2p5/2P5/1P3NP1/P2PPPBP/RNBQ1RK1 b kq - 0 6,-15
rn1qk2r/pb1pppbp/1p3np1/2p5/2P5/1P3NP1/P2PPPBP/RNBQ1RK1 w kq - 1 7,+45
rn1qk2r/pb1pppbp/1p3np1/2p5/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 b kq - 2 7,-30
rn1q1rk1/pb1pppbp/1p3np1/2p5/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 w - - 3 8,+56
rn1q1rk1/pb1pppbp/1p3np1/2p5/2P5/1PN2NP1/PB1PPPBP/R2Q1RK1 b - - 4 8,0
r2q1rk1/pb1pppbp/np3np1/2p5/2P5/1PN2NP1/PB1PPPBP/R2Q1RK1 w - - 5 9,+54
r2q1rk1/pb1pppbp/np3np1/2p5/2P5/1PN2NP1/PB1PPPBP/2RQ1RK1 b - - 6 9,-21
r2q1rk1/pb2ppbp/np3np1/2pp4/2P5/1PN2NP1/PB1PPPBP/2RQ1RK1 w - - 0 10,+30
r2q1rk1/pb2ppbp/np3np1/2pN4/2P5/1P3NP1/PB1PPPBP/2RQ1RK1 b - - 0 10,-51
r2q1rk1/pb2ppbp/np4p1/2pn4/2P5/1P3NP1/PB1PPPBP/2RQ1RK1 w - - 0 11,+14
r2q1rk1/pb2ppBp/np4p1/2pn4/2P5/1P3NP1/P2PPPBP/2RQ1RK1 b - - 0 11,-19
r2q1r2/pb2ppkp/np4p1/2pn4/2P5/1P3NP1/P2PPPBP/2RQ1RK1 w - - 0 12,+16
r2q1r2/pb2ppkp/np4p1/2pP4/8/1P3NP1/P2PPPBP/2RQ1RK1 b - - 0 12,-57
r4r2/pb2ppkp/np4p1/2pq4/8/1P3NP1/P2PPPBP/2RQ1RK1 w - - 0 13,+13
r4r2/pb2ppkp/np4p1/2pq4/3P4/1P3NP1/P3PPBP/2RQ1RK1 b - - 0 13,-25
r2r4/pb2ppkp/np4p1/2pq4/3P4/1P3NP1/P3PPBP/2RQ1RK1 w - - 1 14,0
r2r4/pb2ppkp/np4p1/2Pq4/8/1P3NP1/P3PPBP/2RQ1RK1 b - - 0 14,-53
r2r4/pb2ppkp/1p4p1/2nq4/8/1P3NP1/P3PPBP/2RQ1RK1 w - - 0 15,0
r2r4/pb2ppkp/1p4p1/2nq4/8/1P3NP1/P1Q1PPBP/2R2RK1 b - - 1 15,-37
r2r4/pb2ppkp/1p4p1/2n2q2/8/1P3NP1/P1Q1PPBP/2R2RK1 w - - 2 16,0
r2r4/pb2ppkp/1p4p1/2n2Q2/8/1P3NP1/P3PPBP/2R2RK1 b - - 0 16,-24
r2r4/pb2ppkp/1p6/2n2p2/8/1P3NP1/P3PPBP/2R2RK1 w - - 0 17,-5
r2r4/pb2ppkp/1p6/2n2p2/8/1P3NP1/P3PPBP/2RR2K1 b - - 1 17,-38
r2r4/pb2ppkp/1p2n3/5p2/8/1P3NP1/P3PPBP/2RR2K1 w - - 2 18,+72
r2r4/pb2ppkp/1p2n3/4Np2/8/1P4P1/P3PPBP/2RR2K1 b - - 3 18,+15
r2r4/p3ppkp/1p2n3/4Np2/8/1P4P1/P3PPbP/2RR2K1 w - - 0 19,+55
r2r4/p3ppkp/1p2n3/4Np2/8/1P4P1/P3PPKP/2RR4 b - - 0 19,+4
r7/p3ppkp/1p2n3/4Np2/8/1P4P1/P3PPKP/2Rr4 w - - 0 20,+47
r7/p3ppkp/1p2n3/4Np2/8/1P4P1/P3PPKP/3R4 b - - 0 20,+33
3r4/p3ppkp/1p2n3/4Np2/8/1P4P1/P3PPKP/3R4 w - - 1 21,+54
3R4/p3ppkp/1p2n3/4Np2/8/1P4P1/P3PPKP/8 b - - 0 21,+13
3n4/p3ppkp/1p6/4Np2/8/1P4P1/P3PPKP/8 w - - 0 22,+51
3n4/p3ppkp/1p6/4Np2/8/1P3KP1/P3PP1P/8 b - - 1 22,+23
3n4/p3p1kp/1p3p2/4Np2/8/1P3KP1/P3PP1P/8 w - - 0 23,+77
3n4/p3p1kp/1p3p2/5p2/8/1P1N1KP1/P3PP1P/8 b - - 1 23,+24
8/p3p1kp/1pn2p2/5p2/8/1P1N1KP1/P3PP1P/8 w - - 2 24,+67
8/p3p1kp/1pn2p2/5p2/4P3/1P1N1KP1/P4P1P/8 b - - 0 24,+31
8/p3p1kp/1pn2p2/8/4p3/1P1N1KP1/P4P1P/8 w - - 0 25,+68
8/p3p1kp/1pn2p2/8/4K3/1P1N2P1/P4P1P/8 b - - 0 25,+31
8/p5kp/1pn1pp2/8/4K3/1P1N2P1/P4P1P/8 w - - 0 26,+66
8/p5kp/1pn1pp2/8/4K1P1/1P1N4/P4P1P/8 b - - 0 26,+42
8/p6p/1pn1ppk1/8/4K1P1/1P1N4/P4P1P/8 w - - 1 27,+57
8/p6p/1pn1ppk1/8/4KPP1/1P1N4/P6P/8 b - - 0 27,+21
8/p7/1pn1ppk1/7p/4KPP1/1P1N4/P6P/8 w - - 0 28,+41
8/p7/1pn1ppk1/7p/4KPP1/1P1N3P/P7/8 b - - 0 28,+18
8/p7/1pn1ppk1/8/4KPp1/1P1N3P/P7/8 w - - 0 29,+31
8/p7/1pn1ppk1/8/4KPP1/1P1N4/P7/8 b - - 0 29,+27
8/p4k2/1pn1pp2/8/4KPP1/1P1N4/P7/8 w - - 1 30,+23
8/p4k2/1pn1pp2/8/P3KPP1/1P1N4/8/8 b - - 0 30,+1
8/5k2/ppn1pp2/8/P3KPP1/1P1N4/8/8 w - - 0 31,+13
8/5k2/ppn1pp2/8/P3KPP1/1P6/8/2N5 b - - 1 31,0
8/5k2/p1n1pp2/1p6/P3KPP1/1P6/8/2N5 w - - 0 32,+77
8/5k2/p1n1pp2/1P6/4KPP1/1P6/8/2N5 b - - 0 32,0
8/5k2/2n1pp2/1p6/4KPP1/1P6/8/2N5 w - - 0 33,0
8/5k2/2n1pp2/1p6/4KPP1/1P6/4N3/8 b - - 1 33,0
8/5k2/4pp2/np6/4KPP1/1P6/4N3/8 w - - 2 34,+13
8/5k2/4pp2/np6/4KPP1/1P6/8/2N5 b - - 3 34,0
8/5k2/2n1pp2/1p6/4KPP1/1P1N4/8/8 b - - 5 35,0
8/8/2n1ppk1/1p6/4KPP1/1P1N4/8/8 w - - 6 36,0
8/8/2n1ppk1/1p6/5PP1/1P1NK3/8/8 b - - 7 36,0
8/5k2/2n1pp2/1p6/5PP1/1P1NK3/8/8 w - - 8 37,+13
8/5k2/2n1pp2/1pN5/5PP1/1P2K3/8/8 b - - 9 37,0
8/5k2/2n2p2/1pN1p3/5PP1/1P2K3/8/8 w - - 0 38,0
8/5k2/2n2p2/1pN1pP2/6P1/1P2K3/8/8 b - - 0 38,0
8/5k2/5p2/1pN1pP2/3n2P1/1P2K3/8/8 w - - 1 39,0
8/5k2/5p2/1pN1pP2/3nK1P1/1P6/8/8 b - - 2 39,0
8/4k3/5p2/1pN1pP2/3nK1P1/1P6/8/8 w - - 3 40,0
8/4k3/5p2/1pN1pP2/3n2P1/1P1K4/8/8 b - - 4 40,0
8/8/3k1p2/1pN1pP2/3n2P1/1P1K4/8/8 w - - 5 41,0
8/8/3k1p2/1p2pP2/3nN1P1/1P1K4/8/8 b - - 6 41,0
8/4k3/5p2/1p2pP2/3nN1P1/1P1K4/8/8 w - - 7 42,0
8/4k3/5p2/1p2pP2/3nN1P1/1PK5/8/8 b - - 8 42,0
8/4k3/2n2p2/1p2pP2/4N1P1/1PK5/8/8 w - - 9 43,0
8/4k3/2n2p2/1p2pP2/4N1P1/1P6/1K6/8 b - - 10 43,0
8/4k3/5p2/1p2pP2/3nN1P1/1P6/1K6/8 w - - 11 44,+26
rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/8/PPP1NPPP/RNBQKB1R b KQkq - 2 4,-12
rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/8/PPP1NPPP/RNBQKB1R w KQkq - 0 5,+50
rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/6N1/PPP2PPP/RNBQKB1R b KQkq - 1 5,-24
rn1qkbnr/pp3ppp/2p1p1b1/3pP3/3P4/6N1/PPP2PPP/RNBQKB1R w KQkq - 2 6,+33
rn1qkbnr/pp3ppp/2p1p1b1/3pP3/3P3P/6N1/PPP2PP1/RNBQKB1R b KQkq - 0 6,-30
rn1qkbnr/pp3pp1/2p1p1b1/3pP2p/3P3P/6N1/PPP2PP1/RNBQKB1R w KQkq - 0 7,-5
rn1qkbnr/pp3pp1/2p1p1b1/3pP2p/3P3P/3B2N1/PPP2PP1/RNBQK2R b KQkq - 1 7,-37
rn1qkbnr/pp3pp1/2p1p3/3pP2p/3P3P/3b2N1/PPP2PP1/RNBQK2R w KQkq - 0 8,0
rn1qkbnr/pp3pp1/2p1p3/3pP2p/3P3P/3P2N1/PP3PP1/RNBQK2R b KQkq - 0 8,-56
rn2kbnr/pp3pp1/1qp1p3/3pP2p/3P3P/3P2N1/PP3PP1/RNBQK2R w KQkq - 1 9,+22
rn2kbnr/pp3pp1/1qp1p3/3pP2p/3P3P/3P4/PP2NPP1/RNBQK2R b KQkq - 2 9,-33
rn2kb1r/pp2npp1/1qp1p3/3pP2p/3P3P/3P4/PP2NPP1/RNBQK2R w KQkq - 3 10,+16
rn2kb1r/pp2npp1/1qp1p3/3pP2p/3P3P/3P4/PP1NNPP1/R1BQK2R b KQkq - 4 10,-48
rn2kb1r/pp3pp1/1qp1p3/3pPn1p/3P3P/3P4/PP1NNPP1/R1BQK2R w KQkq - 5 11,0
rn2kb1r/pp3pp1/1qp1p3/3pPn1p/3P3P/3P1N2/PP2NPP1/R1BQK2R b KQkq - 6 11,-22
rn2kb1r/pp3pp1/1q2p3/2ppPn1p/3P3P/3P1N2/PP2NPP1/R1BQK2R w KQkq - 0 12,0
rn2kb1r/pp3pp1/1q2p3/2PpPn1p/7P/3P1N2/PP2NPP1/R1BQK2R b KQkq - 0 12,-48
rn2k2r/pp3pp1/1q2p3/2bpPn1p/7P/3P1N2/PP2NPP1/R1BQK2R w KQkq - 0 13,-1
rn2k2r/pp3pp1/1q2p3/2bpPn1p/3P3P/5N2/PP2NPP1/R1BQK2R b KQkq - 0 13,-40
rn2k2r/pp2bpp1/1q2p3/3pPn1p/3P3P/5N2/PP2NPP1/R1BQK2R w KQkq - 1 14,+27
rn2k2r/pp2bpp1/1q2p3/3pPnBp/3P3P/5N2/PP2NPP1/R2QK2R b KQkq - 2 14,-82
rn2k2r/pp3pp1/1q2p3/3pPnBp/1b1P3P/5N2/PP2NPP1/R2QK2R w KQkq - 3 15,0
rn2k2r/pp3pp1/1q2p3/3pPnBp/1b1P3P/5N2/PP2NPP1/R2Q1K1R b kq - 4 15,-52
r3k2r/pp3pp1/1qn1p3/3pPnBp/1b1P3P/5N2/PP2NPP1/R2Q1K1R w kq - 5 16,+39
r3k2r/pp3pp1/1qn1p3/3pPnBp/1b1P3P/5NP1/PP2NP2/R2Q1K1R b kq - 0 16,-33
r3k2r/pp2bpp1/1qn1p3/3pPnBp/3P3P/5NP1/PP2NP2/R2Q1K1R w kq - 1 17,+37
r3k2r/pp2Bpp1/1qn1p3/3pPn1p/3P3P/5NP1/PP2NP2/R2Q1K1R b kq - 0 17,-15
r3k2r/pp2npp1/1qn1p3/3pP2p/3P3P/5NP1/PP2NP2/R2Q1K1R w kq - 0 18,+59
r3k2r/pp2npp1/1qn1p3/3pP2p/3P3P/5NP1/PP1QNP2/R4K1R b kq - 1 18,+16
2kr3r/pp2npp1/1qn1p3/3pP2p/3P3P/5NP1/PP1QNP2/R4K1R w - - 2 19,+149
2kr3r/pp2npp1/1qn1p3/3pP2p/3P3P/5NP1/PP1QNP2/2R2K1R b - - 3 19,+86
1k1r3r/pp2npp1/1qn1p3/3pP2p/3P3P/5NP1/PP1QNP2/2R2K1R w - - 4 20,+106
1k1r3r/pp2npp1/1qn1p3/3pP2p/3P3P/5NP1/PP1QNPK1/2R4R b - - 5 20,+42
1kr4r/pp2npp1/1qn1p3/3pP2p/3P3P/5NP1/PP1QNPK1/2R4R w - - 6 21,+175
1kr4r/pp2npp1/1qn1p3/2RpP2p/3P3P/5NP1/PP1QNPK1/7R b - - 7 21,+107
1kr4r/pp3pp1/1qn1p3/2RpPn1p/3P3P/5NP1/PP1QNPK1/7R w - - 8 22,+181
1kr4r/pp3pp1/1qn1p3/2RpPn1p/3P3P/5NP1/PP1QNPK1/2R5 b - - 9 22,+112
1krq3r/pp3pp1/2n1p3/2RpPn1p/3P3P/5NP1/PP1QNPK1/2R5 w - - 10 23,+172
1krq3r/pp3pp1/2n1p3/2RpPn1p/1P1P3P/5NP1/P2QNPK1/2R5 b - - 0 23,+139
1kr4r/pp1q1pp1/2n1p3/2RpPn1p/1P1P3P/5NP1/P2QNPK1/2R5 w - - 1 24,+176
1kr4r/pp1q1pp1/2n1p3/2RpPn1p/1P1P1N1P/5NP1/P2Q1PK1/2R5 b - - 2 24,+118
1kr4r/pp1qnpp1/4p3/2RpPn1p/1P1P1N1P/5NP1/P2Q1PK1/2R5 w - - 3 25,+149
1kr4r/pp1qnpp1/4p3/2RpPnNp/1P1P1N1P/6P1/P2Q1PK1/2R5 b - - 4 25,+105
1k5r/pp1qnpp1/4p3/2rpPnNp/1P1P1N1P/6P1/P2Q1PK1/2R5 w - - 0 26,+195
1k5r/pp1qnpp1/4p3/2PpPnNp/1P3N1P/6P1/P2Q1PK1/2R5 b - - 0 26,+121
1k3r2/pp1qnpp1/4p3/2PpPnNp/1P3N1P/6P1/P2Q1PK1/2R5 w - - 1 27,+160
1k3r2/pp1qnpp1/4p3/2PpPnNN/1P5P/6P1/P2Q1PK1/2R5 b - - 0 27,+118
1k3r2/pp1q1pp1/4p1n1/2PpPnNN/1P5P/6P1/P2Q1PK1/2R5 w - - 1 28,+202
1k3r2/pp1q1pp1/4p1n1/2PpPn1N/1P5P/5NP1/P2Q1PK1/2R5 b - - 2 28,+121
1k3r2/pp1q1pp1/4p1n1/2P1Pn1N/1P1p3P/5NP1/P2Q1PK1/2R5 w - - 0 29,+212
1k3r2/pp1q1pp1/4p1n1/2P1Pn2/1P1p1N1P/5NP1/P2Q1PK1/2R5 b - - 1 29,+183
1k3r2/pp3pp1/2q1p1n1/2P1Pn2/1P1p1N1P/5NP1/P2Q1PK1/2R5 w - - 2 30,+235
1k3r2/pp3pp1/2q1p1N1/2P1Pn2/1P1p3P/5NP1/P2Q1PK1/2R5 b - - 0 30,+170
